feature,historical_missing_pct,2026_missing_pct,historical_mean,2026_mean,historical_std,2026_std,historical_min,historical_max,2026_min,2026_max,standardized_mean_diff,status,is_critical
effective_disposals__match_rank,0.0,0.0,22.982989541565043,23.5,12.950827531208919,13.237530868932252,1.0,46.0,1.0,46.0,0.03992103648890886,READY,False
effective_disposals__match_share,0.0,0.0,0.022250010334421894,0.021739130434782608,0.0108276973988989,0.010692626186765917,0.0,0.08108108108108109,0.0,0.06569343065693431,-0.04718269091000256,READY,False
goals__match_z,0.0,0.0,7.067684088804684e-19,-2.285273186584023e-18,0.9888175232321188,0.9891226502649172,-0.9500045755112446,6.1314362154248805,-0.8598234599865133,5.936150053609245,-3.0258784104922544e-18,READY,False
goals__match_pct,0.0,0.0,0.5111250051672109,0.5108695652173914,0.23871229040368472,0.24079275036011824,0.25,1.0,0.25,1.0,-0.001070074562929322,READY,False
goals__match_rank,0.0,0.0,22.982989541565043,23.5,10.745558990990089,11.07646651656544,1.0,35.0,1.0,35.5,0.04811387279791199,READY,False
goals__match_share,0.0,0.0,0.022250010334421894,0.021739130434782608,0.03909222088986345,0.0374797897406872,0.0,0.38461538461538464,0.0,0.37037037037037035,-0.013068582137571923,READY,False
tackles__match_z,0.0,0.0,2.134073442398817e-18,-1.119317479143195e-18,0.9888175232321188,0.9891226502649172,-2.128903164502306,5.228764307073613,-1.7692587999307312,5.017057442580544,-3.2901833200808865e-18,READY,False
tackles__match_pct,0.0,0.0,0.5111250051672108,0.5108695652173914,0.2834706246009423,0.282895541096185,0.021739130434782608,1.0,0.021739130434782608,1.0,-0.0009011161215701507,READY,False
tackles__match_rank,0.0,0.0,22.982989541565043,23.5,12.759128124744949,13.01319489042451,1.0,46.0,1.0,46.0,0.04052082974480606,READY,False
tackles__match_share,0.0,0.0,0.022250010334421894,0.021739130434782608,0.01778881403029841,0.017974534733906988,0.0,0.15294117647058825,0.0,0.12790697674418605,-0.028719165806620973,READY,False
inside_fifties__match_z,0.0,0.0,-4.8051072993366906e-18,-5.876416765501774e-18,0.9888175232321188,0.9891226502649172,-1.6846886413563629,5.270792117940838,-1.5741869112782005,4.952299213945219,-1.0834248392598518e-18,READY,False
inside_fifties__match_pct,0.0,0.0,0.511125005167211,0.5108695652173914,0.282755427656885,0.282836098112107,0.022727272727272728,1.0,0.043478260869565216,1.0,-0.0009033953899185972,READY,False
inside_fifties__match_rank,0.0,0.0,22.982989541565043,23.5,12.727521151466682,13.010460513156923,1.0,45.0,1.0,45.0,0.04062145741359682,READY,False
inside_fifties__match_share,0.0,0.0,0.022250010334421894,0.02173913043478261,0.01878449043108688,0.018292580180278385,0.0,0.1568627450980392,0.0,0.14150943396226415,-0.027196899565282606,READY,False
clearances__match_z,0.0,0.0,5.874438723162335e-19,-1.3991468489289937e-18,0.9888175232321188,0.9891226502649172,-1.1053569698147927,5.6022176933409735,-0.9626590712452506,5.015283466002578,-2.009056953958215e-18,READY,False
clearances__match_pct,0.0,0.0,0.5111250051672109,0.5108695652173914,0.27303901697438315,0.2723974481027488,0.125,1.0,0.11956521739130435,1.0,-0.00093554376458785,READY,False
clearances__match_rank,0.0,0.0,22.982989541565043,23.5,12.288556424781861,12.530282612726445,1.0,41.0,1.0,41.5,0.042072513691870386,READY,False
clearances__match_share,0.0,0.0,0.022250010334421894,0.021739130434782608,0.03049149693540267,0.030470500310212836,0.0,0.26666666666666666,0.0,0.22388059701492538,-0.016754831706741156,READY,False
contested_possessions__match_z,0.0,0.0,-3.1575108136997548e-18,5.96969322209704e-18,0.9888175232321188,0.9891226502649172,-2.3598188226393204,4.9570031781462145,-1.9990137463382607,5.011687634808199,9.230423026852285e-18,READY,False
contested_possessions__match_pct,0.0,0.0,0.5111250051672109,0.5108695652173914,0.28651774023367277,0.2863584794785847,0.021739130434782608,1.0,0.021739130434782608,1.0,-0.0008915327532991618,READY,False
contested_possessions__match_rank,0.0,0.0,22.982989541565043,23.5,12.896429755760602,13.172490056014897,1.0,46.0,1.0,46.0,0.04008942538565896,READY,False
contested_possessions__match_share,0.0,0.0,0.022250010334421894,0.02173913043478261,0.013331349715116717,0.013239133966974188,0.0,0.10317460317460317,0.0,0.0959409594095941,-0.03832169364366639,READY,False
score_involvements__match_z,0.0,0.0,3.7174182545011647e-19,5.036928656144378e-18,0.9888175232321187,0.9891226502649172,-2.654306333812408,4.974896049611804,-2.3585147245508638,4.68006085387486,4.717945142644017e-18,READY,False
score_involvements__match_pct,0.0,0.0,0.5111250051672108,0.5108695652173914,0.2853323298956603,0.2854467913339269,0.021739130434782608,1.0,0.021739130434782608,1.0,-0.000895236617290715,READY,False
score_involvements__match_rank,0.0,0.0,22.982989541565043,23.5,12.8432641162291,13.130552401360639,1.0,46.0,1.0,46.0,0.0402553785202975,READY,False
score_involvements__match_share,0.0,0.0,0.022250010334421894,0.021739130434782608,0.014005836612873555,0.01296434253741881,0.0,0.10655737704918032,0.0,0.08333333333333333,-0.036476214435466635,READY,False
metres_gained__match_z,0.0,0.0,-8.903446189792914e-19,7.042372472942602e-18,0.9888175232321188,0.9891226502649172,-2.561124031784732,4.543387427031653,-2.2281109843684357,4.660607932182672,8.02242770333646e-18,READY,False
metres_gained__match_pct,0.0,0.0,0.5111250051672108,0.5108695652173914,0.2885848849594581,0.2886036678043231,0.021739130434782608,1.0,0.021739130434782608,1.0,-0.0008851466696024457,READY,False
metres_gained__match_rank,0.0,0.0,22.982989541565043,23.5,12.989325614513636,13.275768718998862,1.0,46.0,1.0,46.0,0.039802717537335004,READY,False
metres_gained__match_share,0.0,0.0,0.022250010334421894,0.021739130434782605,0.01297114783189176,0.012504903197835922,-0.008877738106725852,0.10408690232392485,-0.003213998750111597,0.0915213261958211,-0.039385866714370825,READY,False
intercepts__match_z,0.0,0.0,9.178810504941148e-19,4.337355231679881e-18,0.9888175232321188,0.9891226502649173,-1.6517846483784642,5.102723582830972,-1.5645909158683438,4.615509704520409,3.458144805129091e-18,READY,False
intercepts__match_pct,0.0,0.0,0.5111250051672109,0.5108695652173914,0.2845933394794392,0.28440991006325483,0.022727272727272728,1.0,0.03260869565217391,1.0,-0.0008975612369805122,READY,False
intercepts__match_rank,0.0,0.0,22.982989541565043,23.5,12.80987962213641,13.082855862909721,1.0,45.5,1.0,45.5,0.04036029015772519,READY,False
intercepts__match_share,0.0,0.0,0.022250010334421894,0.02173913043478261,0.019102821481785198,0.01862177994677797,0.0,0.16793893129770993,0.0,0.12307692307692308,-0.026743688105257804,READY,False
pressure_acts__match_z,0.0,0.0,1.0693314238256437e-18,-1.49242330552426e-18,0.9888175232321187,0.9891226502649172,-2.621168484842463,4.8083540229673005,-2.434691131910113,4.430104624034501,-2.5907254565800688e-18,READY,False
pressure_acts__match_pct,0.0,0.0,0.5111250051672108,0.5108695652173914,0.28783262611369514,0.2877385147952596,0.021739130434782608,1.0,0.021739130434782608,1.0,-0.0008874600258782664,READY,False
pressure_acts__match_rank,0.0,0.0,22.982989541565043,23.5,12.955621917770895,13.23597168058194,1.0,46.0,1.0,46.0,0.03990626322043148,READY,False
